Gblade_tsr=7
             x                       y                       z
  -7.60808e-02             7.00000e-01            -1.09647e-02
  -7.69004e-02             7.00000e-01            -1.29736e-02
  -7.75258e-02             7.00000e-01            -1.47089e-02
  -7.78474e-02             7.00000e-01            -1.65896e-02
  -7.79178e-02             7.00000e-01            -1.84061e-02
  -7.77733e-02             7.00000e-01            -2.00140e-02
  -7.77733e-02             7.00000e-01            -2.00140e-02
  -7.71887e-02             7.00000e-01            -2.12409e-02
  -7.63385e-02             7.00000e-01            -2.24568e-02
  -7.52561e-02             7.00000e-01            -2.35345e-02
  -7.39768e-02             7.00000e-01            -2.43422e-02
  -7.24114e-02             7.00000e-01            -2.52332e-02
  -7.06211e-02             7.00000e-01            -2.59780e-02
  -6.85669e-02             7.00000e-01            -2.67385e-02
  -6.62708e-02             7.00000e-01            -2.74411e-02
  -6.37377e-02             7.00000e-01            -2.80795e-02
  -6.09595e-02             7.00000e-01            -2.87003e-02
  -5.79664e-02             7.00000e-01            -2.92029e-02
  -5.47335e-02             7.00000e-01            -2.97021e-02
  -5.12974e-02             7.00000e-01            -3.00749e-02
  -4.76404e-02             7.00000e-01            -3.04114e-02
  -4.37836e-02             7.00000e-01            -3.06522e-02
  -3.97300e-02             7.00000e-01            -3.08091e-02
  -3.54807e-02             7.00000e-01            -3.09034e-02
  -3.10609e-02             7.00000e-01            -3.08643e-02
  -2.64539e-02             7.00000e-01            -3.07836e-02
  -2.16990e-02             7.00000e-01            -3.05386e-02
  -1.67775e-02             7.00000e-01            -3.02318e-02
  -1.17191e-02             7.00000e-01            -2.97794e-02
  -6.52495e-03             7.00000e-01            -2.92101e-02
  -1.20304e-03             7.00000e-01            -2.85258e-02
   4.22284e-03             7.00000e-01            -2.76689e-02
   9.76863e-03             7.00000e-01            -2.67371e-02
   1.53838e-02             7.00000e-01            -2.55705e-02
   2.10994e-02             7.00000e-01            -2.43267e-02
   2.68694e-02             7.00000e-01            -2.28652e-02
   3.27065e-02             7.00000e-01            -2.12740e-02
   3.85899e-02             7.00000e-01            -1.95114e-02
   4.45050e-02             7.00000e-01            -1.75613e-02
   5.04600e-02             7.00000e-01            -1.54952e-02
   5.64106e-02             7.00000e-01            -1.31823e-02
   6.23908e-02             7.00000e-01            -1.07957e-02
   6.83388e-02             7.00000e-01            -8.13708e-03
   7.42932e-02             7.00000e-01            -5.39817e-03
   8.02127e-02             7.00000e-01            -2.46022e-03
   8.61141e-02             7.00000e-01             5.68976e-04
   9.19843e-02             7.00000e-01             3.69834e-03
   9.78207e-02             7.00000e-01             6.89637e-03
   1.03623e-01             7.00000e-01             1.01214e-02
   1.09380e-01             7.00000e-01             1.33763e-02
   1.15092e-01             7.00000e-01             1.66158e-02
   1.20760e-01             7.00000e-01             1.97974e-02
   1.26373e-01             7.00000e-01             2.29251e-02
   1.31937e-01             7.00000e-01             2.59300e-02
   1.37435e-01             7.00000e-01             2.88389e-02
   1.42870e-01             7.00000e-01             3.16024e-02
   1.48228e-01             7.00000e-01             3.42352e-02
   1.53501e-01             7.00000e-01             3.67329e-02
   1.58687e-01             7.00000e-01             3.90664e-02
   1.63764e-01             7.00000e-01             4.12777e-02
   1.68743e-01             7.00000e-01             4.32939e-02
   1.73593e-01             7.00000e-01             4.52017e-02
   1.78331e-01             7.00000e-01             4.69031e-02
   1.82917e-01             7.00000e-01             4.85129e-02
   1.87372e-01             7.00000e-01             4.99243e-02
   1.91657e-01             7.00000e-01             5.12573e-02
   1.95793e-01             7.00000e-01             5.24004e-02
   1.99743e-01             7.00000e-01             5.34702e-02
   2.03524e-01             7.00000e-01             5.43741e-02
   2.07105e-01             7.00000e-01             5.52033e-02
   2.10495e-01             7.00000e-01             5.59040e-02
   2.13677e-01             7.00000e-01             5.65223e-02
   2.16643e-01             7.00000e-01             5.70611e-02
   2.19392e-01             7.00000e-01             5.75078e-02
   2.21905e-01             7.00000e-01             5.79162e-02
   2.24193e-01             7.00000e-01             5.82303e-02
   2.26238e-01             7.00000e-01             5.85057e-02
   2.28034e-01             7.00000e-01             5.87476e-02
   2.29579e-01             7.00000e-01             5.89557e-02
   2.30871e-01             7.00000e-01             5.91297e-02
   2.31907e-01             7.00000e-01             5.92692e-02
   2.32685e-01             7.00000e-01             5.93740e-02
   2.33205e-01             7.00000e-01             5.94440e-02
   2.33465e-01             7.00000e-01             5.94790e-02
